code,exchange,source,as_of
513820,SSE,sse_etf_fundlist,2026-02-10
513830,SSE,sse_etf_fundlist,2026-02-10
513850,SSE,sse_etf_fundlist,2026-02-10
513860,SSE,sse_etf_fundlist,2026-02-10
513870,SSE,sse_etf_fundlist,2026-02-10
513880,SSE,sse_etf_fundlist,2026-02-10
513890,SSE,sse_etf_fundlist,2026-02-10
513900,SSE,sse_etf_fundlist,2026-02-10
513910,SSE,sse_etf_fundlist,2026-02-10
513920,SSE,sse_etf_fundlist,2026-02-10
513950,SSE,sse_etf_fundlist,2026-02-10
513970,SSE,sse_etf_fundlist,2026-02-10
513980,SSE,sse_etf_fundlist,2026-02-10
513990,SSE,sse_etf_fundlist,2026-02-10
515000,SSE,sse_etf_fundlist,2026-02-10
515010,SSE,sse_etf_fundlist,2026-02-10
515020,SSE,sse_etf_fundlist,2026-02-10
515030,SSE,sse_etf_fundlist,2026-02-10
515050,SSE,sse_etf_fundlist,2026-02-10
515060,SSE,sse_etf_fundlist,2026-02-10
515070,SSE,sse_etf_fundlist,2026-02-10
515080,SSE,sse_etf_fundlist,2026-02-10
515090,SSE,sse_etf_fundlist,2026-02-10
515100,SSE,sse_etf_fundlist,2026-02-10
515110,SSE,sse_etf_fundlist,2026-02-10
515120,SSE,sse_etf_fundlist,2026-02-10
515130,SSE,sse_etf_fundlist,2026-02-10
515150,SSE,sse_etf_fundlist,2026-02-10
515160,SSE,sse_etf_fundlist,2026-02-10
515170,SSE,sse_etf_fundlist,2026-02-10
515180,SSE,sse_etf_fundlist,2026-02-10
515190,SSE,sse_etf_fundlist,2026-02-10
515200,SSE,sse_etf_fundlist,2026-02-10
515210,SSE,sse_etf_fundlist,2026-02-10
515220,SSE,sse_etf_fundlist,2026-02-10
515230,SSE,sse_etf_fundlist,2026-02-10
515250,SSE,sse_etf_fundlist,2026-02-10
515260,SSE,sse_etf_fundlist,2026-02-10
515290,SSE,sse_etf_fundlist,2026-02-10
515300,SSE,sse_etf_fundlist,2026-02-10
515310,SSE,sse_etf_fundlist,2026-02-10
515320,SSE,sse_etf_fundlist,2026-02-10
515330,SSE,sse_etf_fundlist,2026-02-10
515350,SSE,sse_etf_fundlist,2026-02-10
515360,SSE,sse_etf_fundlist,2026-02-10
515370,SSE,sse_etf_fundlist,2026-02-10
515380,SSE,sse_etf_fundlist,2026-02-10
515390,SSE,sse_etf_fundlist,2026-02-10
515400,SSE,sse_etf_fundlist,2026-02-10
515450,SSE,sse_etf_fundlist,2026-02-10
515530,SSE,sse_etf_fundlist,2026-02-10
515550,SSE,sse_etf_fundlist,2026-02-10
515560,SSE,sse_etf_fundlist,2026-02-10
515580,SSE,sse_etf_fundlist,2026-02-10
515590,SSE,sse_etf_fundlist,2026-02-10
515600,SSE,sse_etf_fundlist,2026-02-10
515630,SSE,sse_etf_fundlist,2026-02-10
515650,SSE,sse_etf_fundlist,2026-02-10
515660,SSE,sse_etf_fundlist,2026-02-10
515680,SSE,sse_etf_fundlist,2026-02-10
515700,SSE,sse_etf_fundlist,2026-02-10
515710,SSE,sse_etf_fundlist,2026-02-10
515720,SSE,sse_etf_fundlist,2026-02-10
515730,SSE,sse_etf_fundlist,2026-02-10
515750,SSE,sse_etf_fundlist,2026-02-10
515760,SSE,sse_etf_fundlist,2026-02-10
515770,SSE,sse_etf_fundlist,2026-02-10
515790,SSE,sse_etf_fundlist,2026-02-10
515800,SSE,sse_etf_fundlist,2026-02-10
515810,SSE,sse_etf_fundlist,2026-02-10
